,Team,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
249,HOU,36,83,43.4,7,26,26.9,17,24,70.8,15,33,48,14,6,1,19,22
250,DET,43,84,51.2,13,30,43.3,18,22,81.8,10,20,30,29,6,3,12,16
251,DAL,42,89,47.2,19,45,42.2,17,22,77.3,3,40,43,24,10,6,17,20
252,NYK,38,89,42.7,11,40,27.5,18,24,75.0,10,29,39,18,3,4,8,18
253,LAL,41,90,45.6,7,28,25.0,23,29,79.3,7,50,57,27,4,2,15,18
254,IND,53,90,58.9,15,37,40.5,22,31,71.0,5,25,30,28,8,4,9,24
255,SAC,47,83,56.6,16,38,42.1,13,20,65.0,6,27,33,39,7,3,11,12
256,CLE,43,96,44.8,12,34,35.3,20,25,80.0,16,42,58,27,4,7,15,20
257,DET,40,86,46.5,10,32,31.3,14,20,70.0,16,36,52,30,9,6,16,21
258,DEN,43,86,50.0,13,33,39.4,19,23,82.6,12,29,41,30,9,2,14,12
259,MIA,41,77,53.2,16,29,55.2,32,37,86.5,8,24,32,27,6,4,11,17
260,LAL,42,95,44.2,11,33,33.3,18,22,81.8,10,36,46,29,3,3,9,17
261,BKN,36,92,39.1,12,43,27.9,18,22,81.8,8,44,52,21,5,9,8,12
262,DAL,38,77,49.4,15,38,39.5,35,38,92.1,5,26,31,15,5,0,10,22
263,CHI,45,74,60.8,10,22,45.5,22,25,88.0,4,29,33,18,6,3,15,20
264,HOU,52,85,61.2,13,24,54.2,25,29,86.2,6,38,44,29,10,3,12,20
265,LAC,45,85,52.9,12,29,41.4,33,35,94.3,13,40,53,25,6,2,17,17
266,BOS,43,109,39.4,21,59,35.6,22,25,88.0,17,37,54,27,8,5,16,28
267,OKC,44,87,50.6,14,37,37.8,27,33,81.8,11,31,42,24,9,4,12,20
268,WAS,46,108,42.6,8,31,25.8,11,12,91.7,20,36,56,21,8,2,9,19
269,ORL,42,84,50.0,11,31,35.5,24,31,77.4,6,32,38,29,11,2,11,25
270,SAC,49,89,55.1,14,27,51.9,22,30,73.3,11,28,39,25,5,1,6,21
271,MIA,42,83,50.6,13,35,37.1,20,23,87.0,12,31,43,31,5,3,20,19
272,WAS,38,75,50.7,14,24,58.3,19,22,86.4,9,34,43,26,9,5,24,16
273,CLE,45,91,49.5,14,34,41.2,10,18,55.6,8,31,39,29,14,8,12,18
274,SAS,38,86,44.2,15,37,40.5,19,20,95.0,13,29,42,24,9,3,15,20
275,MIL,44,83,53.0,17,34,50.0,25,28,89.3,11,32,43,30,3,3,13,23
276,SAC,46,87,52.9,10,33,30.3,26,26,100.0,9,36,45,26,3,2,11,22
277,OKC,52,104,50.0,17,43,39.5,9,14,64.3,11,29,40,31,12,5,7,22
278,LAL,36,87,41.4,10,31,32.3,20,24,83.3,11,30,41,23,8,2,15,19
279,MIA,39,81,48.1,12,25,48.0,30,32,93.8,11,28,39,23,7,2,12,17
280,CHA,38,78,48.7,9,24,37.5,21,25,84.0,8,26,34,25,11,4,21,20
281,CHI,39,83,47.0,7,23,30.4,19,25,76.0,9,25,34,24,7,1,9,15
282,BOS,41,84,48.8,9,29,31.0,14,20,70.0,9,39,48,26,8,8,19,19
283,GSW,40,78,51.3,10,31,32.3,18,20,90.0,9,34,43,28,7,4,18,22
284,DEN,40,87,46.0,8,31,25.8,25,31,80.6,13,40,53,28,6,5,10,21
285,ATL,52,91,57.1,12,26,46.2,13,16,81.3,10,33,43,30,10,5,17,19
286,GSW,39,93,41.9,14,46,30.4,23,27,85.2,15,45,60,25,9,6,12,20
287,WAS,43,84,51.2,14,30,46.7,19,24,79.2,9,34,43,30,5,4,15,12
288,DAL,45,82,54.9,25,48,52.1,18,27,66.7,5,26,31,26,8,1,13,22
289,SAS,45,98,45.9,10,32,31.3,10,13,76.9,13,37,50,31,5,6,17,14
290,CHA,32,88,36.4,9,33,27.3,18,28,64.3,12,36,48,20,3,7,14,17
291,BOS,39,78,50.0,16,32,50.0,23,28,82.1,7,36,43,27,5,4,13,18
292,POR,36,81,44.4,11,38,28.9,27,29,93.1,12,29,41,18,5,8,14,18
293,MIL,49,94,52.1,26,56,46.4,15,19,78.9,8,38,46,29,4,1,8,23
294,OKC,44,91,48.4,11,40,27.5,18,24,75.0,12,30,42,29,8,4,13,27
295,NYK,54,89,60.7,20,35,57.1,14,21,66.7,7,39,46,28,5,3,16,21
296,DET,39,78,50.0,14,35,40.0,23,28,82.1,7,33,40,23,8,2,17,23
297,MIA,34,78,43.6,7,29,24.1,21,23,91.3,5,28,33,18,3,2,13,17
298,HOU,36,90,40.0,11,34,32.4,16,25,64.0,17,32,49,17,4,5,13,18
